PageID,Page name,Data comment,Date,Approximate earnings (USD),Stars (USD),Impressions,Interactions,Net follows,Reactions,Comments and replies,Shares,Views
12345,Generic Page Name,,01/01/2025,0,0,1310,20,3,6,8,15,1360
12345,Generic Page Name,,01/02/2025,0,0,5720,160,7,52,3,0,6740
12345,Generic Page Name,,01/03/2025,0,0,4690,220,6,65,7,19,5470
12345,Generic Page Name,,01/04/2025,0,0,4300,60,9,18,16,12,4550
12345,Generic Page Name,,01/05/2025,0,0,3800,20,7,3,16,9,3590
12345,Generic Page Name,,01/06/2025,0,0,3730,30,4,6,14,1,3580
12345,Generic Page Name,,01/07/2025,0,0,3090,20,4,4,0,8,2970
12345,Generic Page Name,,01/08/2025,0,0,1290,10,-1,2,17,0,1330
12345,Generic Page Name,,01/09/2025,0,0,2390,20,-3,5,9,16,2580
12345,Generic Page Name,,01/10/2025,0,0,4210,100,-3,32,2,1,4890
12345,Generic Page Name,,01/11/2025,0,0,7170,250,-6,85,4,1,9740
12345,Generic Page Name,,01/12/2025,0,0,4490,80,-7,28,9,0,5500
12345,Generic Page Name,,01/13/2025,0,0,5540,40,-6,6,9,1,5450
12345,Generic Page Name,,01/14/2025,0,0,4820,60,-8,16,0,1,4650
12345,Generic Page Name,,01/15/2025,0,0,2810,60,-7,16,2,4,2630
12345,Generic Page Name,,01/16/2025,0,0,2370,50,-4,16,0,3,2440
12345,Generic Page Name,,01/17/2025,0,0,3480,180,-1,54,6,12,4010
12345,Generic Page Name,,01/18/2025,0,0,2870,90,-1,26,14,4,3170
12345,Generic Page Name,,01/19/2025,0,0,2920,80,5,18,8,7,4130
12345,Generic Page Name,,01/20/2025,0,0,1650,70,6,24,17,14,2150
12345,Generic Page Name,,01/21/2025,0,0,1120,20,8,5,11,0,1270
12345,Generic Page Name,,01/22/2025,0,0,370,20,7,4,5,9,510
12345,Generic Page Name,,01/23/2025,0,0,2600,20,7,6,4,10,2540
12345,Generic Page Name,,01/24/2025,0,0,4950,130,9,37,12,9,5190
12345,Generic Page Name,,01/25/2025,0,0,3700,20,5,5,19,0,3480
12345,Generic Page Name,,01/26/2025,0,0,3770,30,4,8,4,5,3330
12345,Generic Page Name,,01/27/2025,0,0,3360,20,0,4,0,2,2970
12345,Generic Page Name,,01/28/2025,0,0,3760,10,-3,3,9,4,3330
12345,Generic Page Name,,01/29/2025,0,0,710,10,-2,0,19,6,660
12345,Generic Page Name,,01/30/2025,0,0,2530,50,-6,12,8,0,2730
